Tempo(ms);Pico(mv)
200;542
203;542
212;579
218;555
311;553
313;551
315;558
320;566
323;563
362;568
364;633
366;626
368;620
370;545
402;611
404;667
406;700
440;651
443;563
445;665
447;547
480;691
482;612
485;636
487;549
519;654
521;634
523;691
525;622
528;579
536;547
557;608
561;620
592;544
594;577
596;601
599;648
637;601
639;541
641;750
643;558
647;557
684;592
686;695
689;604
691;605
721;556
727;595
729;611
765;729
769;559
772;624
800;698
802;760
860;545
862;550
901;655
904;566
1186;543
1217;575
1287;557
1309;578
1681;549
1684;564
1688;542
1691;558
1696;541
1871;633
1875;646
1877;660
1880;563
1888;575
